epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,116.527,0.88169,0.67486,0.96655,0.80142,0.55914,0.62569,0.38793,1.21584,1.12426,1.04309,0.000528272,0.000528272,0.000528272
71,118.158,0.85706,0.63445,0.95068,0.78409,0.58224,0.61264,0.38276,1.22419,1.1605,1.05434,0.000511769,0.000511769,0.000511769
72,119.76,0.82707,0.68539,0.96066,0.77657,0.58224,0.6147,0.37953,1.23741,1.21933,1.06247,0.000495266,0.000495266,0.000495266
73,121.369,0.84043,0.65494,0.97139,0.83431,0.5614,0.60491,0.37599,1.24267,1.18706,1.05237,0.000478762,0.000478762,0.000478762
74,122.995,0.87214,0.68029,0.9639,0.79441,0.49276,0.56717,0.35129,1.2554,1.22906,1.0592,0.000462259,0.000462259,0.000462259
75,124.625,0.91133,0.68636,0.9757,0.8643,0.49811,0.56498,0.3451,1.25035,1.20833,1.06066,0.000445756,0.000445756,0.000445756
76,126.23,0.85935,0.65106,0.94579,0.91318,0.53893,0.59253,0.36412,1.2278,1.19574,1.0559,0.000429253,0.000429253,0.000429253
77,127.851,0.81189,0.62215,0.94078,0.89496,0.53399,0.5928,0.37369,1.18685,1.14621,1.04044,0.000412749,0.000412749,0.000412749
78,129.592,0.80848,0.61103,0.93731,0.92107,0.50401,0.60321,0.38277,1.19232,1.18053,1.03578,0.000396246,0.000396246,0.000396246
79,131.196,0.83646,0.63755,0.92765,0.7225,0.5625,0.61641,0.38323,1.20127,1.16679,1.03066,0.000379743,0.000379743,0.000379743
80,132.826,0.82381,0.61044,0.96476,0.75126,0.58991,0.63136,0.3864,1.18531,1.16775,1.0321,0.000363239,0.000363239,0.000363239
81,134.451,0.84089,0.62257,0.95951,0.82002,0.55367,0.63881,0.39982,1.14551,1.15611,1.0262,0.000346736,0.000346736,0.000346736
82,136.079,0.79729,0.58673,0.92385,0.8782,0.52193,0.64284,0.40313,1.1671,1.12348,1.03376,0.000330233,0.000330233,0.000330233
83,137.69,0.81435,0.61164,0.95286,0.74511,0.57018,0.643,0.41197,1.15753,1.10942,1.03602,0.000313729,0.000313729,0.000313729
84,139.31,0.80145,0.61373,0.94348,0.75341,0.56732,0.62161,0.39449,1.15605,1.13474,1.03138,0.000297226,0.000297226,0.000297226
85,140.924,0.79383,0.58141,0.93098,0.66212,0.62083,0.60665,0.39173,1.16199,1.17347,1.0262,0.000280723,0.000280723,0.000280723
86,142.658,0.80535,0.61537,0.94287,0.76172,0.58609,0.61273,0.39932,1.15115,1.14145,1.02054,0.00026422,0.00026422,0.00026422
87,144.27,0.77031,0.59024,0.90848,0.76855,0.60965,0.62253,0.40635,1.14324,1.15026,1.02939,0.000247716,0.000247716,0.000247716
88,145.888,0.76648,0.57258,0.95022,0.79976,0.56768,0.62378,0.39783,1.14547,1.13906,1.03733,0.000231213,0.000231213,0.000231213
89,147.667,0.76503,0.57122,0.9301,0.84708,0.53676,0.63524,0.39245,1.17212,1.17239,1.04577,0.00021471,0.00021471,0.00021471
90,149.324,0.72975,0.55476,0.92209,0.75887,0.56398,0.63616,0.39054,1.18757,1.17898,1.0501,0.000198206,0.000198206,0.000198206
91,160.975,0.75374,0.58177,0.9141,0.77136,0.5563,0.63889,0.39285,1.17655,1.15433,1.03827,0.000181703,0.000181703,0.000181703
92,162.586,0.68848,0.52499,0.88586,0.73672,0.57785,0.63058,0.39444,1.16411,1.18564,1.03309,0.0001652,0.0001652,0.0001652
93,164.176,0.73262,0.53465,0.92191,0.73253,0.5636,0.62272,0.39091,1.16497,1.22043,1.03402,0.000148696,0.000148696,0.000148696
94,165.775,0.74078,0.54965,0.8911,0.76709,0.53975,0.61252,0.38402,1.18272,1.2105,1.04225,0.000132193,0.000132193,0.000132193
95,167.374,0.69064,0.53096,0.90737,0.71244,0.53835,0.59804,0.37497,1.17938,1.18434,1.0461,0.00011569,0.00011569,0.00011569
96,168.992,0.65327,0.52012,0.88085,0.75836,0.49523,0.59487,0.37105,1.17185,1.15661,1.04471,9.91865e-05,9.91865e-05,9.91865e-05
97,170.716,0.68237,0.50849,0.89918,0.78959,0.50041,0.59271,0.37096,1.16938,1.14637,1.04086,8.26832e-05,8.26832e-05,8.26832e-05
98,172.329,0.68682,0.53625,0.89998,0.68401,0.56122,0.59972,0.37527,1.16564,1.12809,1.03782,6.61799e-05,6.61799e-05,6.61799e-05
99,173.929,0.67676,0.51167,0.89005,0.67508,0.56908,0.59908,0.37619,1.16829,1.1408,1.03808,4.96766e-05,4.96766e-05,4.96766e-05
100,175.537,0.67346,0.50024,0.89425,0.66819,0.56908,0.5973,0.37352,1.17264,1.14709,1.03947,3.31733e-05,3.31733e-05,3.31733e-05
